percentile,limit
1,475
2,867
3,1182
4,1439
5,1535
6,1653
7,1766
8,1858
9,1960
10,2124
11,2235
12,2312
13,2399
14,2455
15,2523
16,2568
17,2629
18,2728
19,2823
20,2920
21,3023
22,3098
23,3166
24,3233
25,3325
26,3398
27,3495
28,3550
29,3632
30,3728
31,3808
32,3902
33,3990
34,4085
35,4175
36,4256
37,4356
38,4446
39,4508
40,4580
41,4688
42,4784
43,4878
44,4965
45,5046
46,5135
47,5231
48,5318
49,5419
50,5490
51,5577
52,5666
53,5781
54,5883
55,5999
56,6072
57,6162
58,6277
59,6416
60,6506
61,6600
62,6712
63,6812
64,6923
65,7066
66,7188
67,7310
68,7424
69,7517
70,7634
71,7728
72,7879
73,8015
74,8151
75,8286
76,8439
77,8638
78,8859
79,9020
80,9188
81,9341
82,9588
83,9793
84,10019
85,10311
86,10539
87,10822
88,11025
89,11363
90,11651
91,12122
92,12558
93,13180
94,13937
95,14516
96,15662
97,17105
98,19162
99,23828
100,23829
